epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
-0.01,-0.04,0.995654576220782,0.995680367953595,0.995639732845337,0.995667638187315,1.88737914186277e-14,0.00430690228014144
0,-0.04,0.99570182377577,0.995712642819465,0.99570182377577,0.99569937000409,5.87641046934095e-13,0.00427408436457513
0.01,-0.04,0.995737796550963,0.995733986871836,0.995718198512638,0.995720141078793,2.08721928629529e-14,0.00425216733513879
0.02,-0.04,0.995762780809052,0.995744690822341,0.995713179839311,0.995730241226166,1.55431223447522e-14,0.0042408595814953
0.03,-0.04,0.99577707498078,0.995745057262397,0.995697929670215,0.995729972146674,1.4432899320127e-14,0.00423985762187721
0.04,-0.04,0.995780988874598,0.995735399883785,0.995673005307532,0.995719646650672,8.57092175010621e-14,0.0042488468831873
0.05,-0.04,0.995774842893953,0.995716042692044,0.995638734646914,0.995699587875343,1.31006316905768e-13,0.00426750249137999
0.06,-0.04,0.995758967220362,0.9956873191968,0.99559545480031,0.995670128478619,5.24025267623074e-14,0.00429549008499895
0.07,-0.04,0.995733701026778,0.99564957160829,0.995543511285661,0.995631609839365,1.71307412699662e-13,0.0043324666226191
0.08,-0.04,0.995699391635365,0.995603150013008,0.995483257211438,0.995584381236694,2.42139641670747e-13,0.0043780812104363
0.09,-0.04,0.995656393699237,0.995548411550382,0.995415052451287,0.995528799030327,2.88769008705003e-13,0.00443197592928081
0.1,-0.04,0.995605068372219,0.995485719583336,0.995339262812739,0.995465225834826,1.37556632751057e-13,0.00449378666814422
-0.1,-0.03,0.99472571523971,0.994899024132279,0.994492453020173,0.994890731612608,2.43138842392909e-13,0.00509268334828339
-0.09,-0.03,0.994885166445937,0.995040743247485,0.994677587341036,0.995032147748244,2.63566946046012e-13,0.00495066125301726
-0.08,-0.03,0.995031439832701,0.995169575549165,0.994849208547281,0.995160655542803,2.75335310107039e-13,0.0048215044441969
-0.07,-0.03,0.99516468076651,0.995285673297845,0.995007451088708,0.995276406433967,2.1538326677728e-13,0.00470505983806123
-0.06,-0.03,0.995285052797759,0.995389206672079,0.995152467964358,0.995379569757018,4.70734562441066e-14,0.00460115641283761
-0.05,-0.03,0.995392737102465,0.995480363204122,0.995284430173319,0.995470332182771,1.27231558622043e-13,0.00450960577465189
-0.04,-0.03,0.995487931895025,0.995559347186481,0.995403526126153,0.995548897126562,1.12798659301916e-13,0.00443020275370387
-0.03,-0.03,0.995570851785629,0.995626379042359,0.99550996102654,0.995615484121315,4.70734562441066e-14,0.00436272603664387
-0.02,-0.03,0.99564172715321,0.995681694680611,0.995603956226986,0.995670328175284,2.66453525910038e-14,0.00430693881408037
-0.01,-0.03,0.995700803454713,0.995725544810764,0.995685748560771,0.995713679090006,1.86517468137026e-14,0.00426258946849543
0,-0.03,0.995748340527475,0.995758194244297,0.995748340527475,0.99574580076469,5.8786309153902e-13,0.00422941227551339
