xi_t,deltaK_over_K0_0_001,deltaK_over_K0_0_005,deltaK_over_K0_0_01,deltaK_over_K0_0_05,deltaK_over_K0_0_1
109.375,0.999457957317325,0.986549581289773,0.94742838724281,0.294000175507983,0.0293492935133019
109.6875,0.999456416090838,0.986511585742738,0.947282881063199,0.292978833013801,0.0290569551039628
110,0.999454874866728,0.986473591659047,0.947137397230448,0.291961038614407,0.0287675285788753
110.3125,0.999453333644994,0.986435599038644,0.946991935741123,0.29094677998389,0.0284809849337428
110.625,0.999451792425637,0.986397607881472,0.946846496591794,0.289936044839159,0.028197295453171
110.9375,0.999450251208657,0.986359618187476,0.946701079779028,0.288928820939794,0.0279164317077896
111.25,0.999448709994054,0.986321629956598,0.946555685299396,0.287925096087896,0.027638365551404
111.5625,0.999447168781827,0.986283643188783,0.946410313149468,0.286924858127943,0.0273630691181741
111.875,0.999445627571977,0.986245657883974,0.946264963325815,0.285928094946639,0.0270905148198222
112.1875,0.999444086364503,0.986207674042114,0.946119635825007,0.28493479447277,0.0268206753428681
112.5,0.999442545159406,0.986169691663148,0.945974330643616,0.283944944677058,0.0265535236458918
112.8125,0.999441003956686,0.986131710747019,0.945829047778214,0.282958533572011,0.026289032956824
113.125,0.999439462756342,0.98609373129367,0.945683787225375,0.281975549211783,0.0260271767702628
113.4375,0.999437921558375,0.986055753303046,0.945538548981671,0.280995979692028,0.0257679288448176
113.75,0.999436380362784,0.98601777677509,0.945393333043676,0.280019813149753,0.0255112632004796
114.0625,0.999434839169571,0.985979801709746,0.945248139407964,0.279047037763179,0.0252571541160181
114.375,0.999433297978733,0.985941828106957,0.945102968071111,0.278077641751593,0.0250055761264027
114.6875,0.999431756790273,0.985903855966667,0.944957819029691,0.277111613375208,0.0247565040202518
115,0.999430215604189,0.98586588528882,0.94481269228028,0.276148940935022,0.0245099128373058
115.3125,0.999428674420481,0.985827916073359,0.944667587819455,0.275189612772673,0.0242657778659256
115.625,0.99942713323915,0.985789948320228,0.944522505643794,0.274233617270301,0.0240240746406168
115.9375,0.999425592060196,0.985751982029371,0.944377445749871,0.273280942850405,0.0237847789395773
116.25,0.999424050883619,0.985714017200731,0.944232408134268,0.272331577975704,0.0235478667822702
116.5625,0.999422509709418,0.985676053834253,0.94408739279356,0.271385511148997,0.0233133144270206
116.875,0.999420968537593,0.985638091929879,0.943942399724329,0.270442730913023,0.0230810983686365
117.1875,0.999419427368145,0.985600131487554,0.943797428923152,0.269503225850324,0.0228511953360532
117.5,0.999417886201074,0.985562172507221,0.943652480386611,0.268566984583105,0.0226235822900012
117.8125,0.99941634503638,0.985524214988824,0.943507554111285,0.267633995773098,0.0223982364206973
118.125,0.999414803874061,0.985486258932306,0.943362650093756,0.266704248121423,0.022175135145559
118.4375,0.99941326271412,0.985448304337612,0.943217768330606,0.26577773036845,0.0219542561069411
118.75,0.999411721556555,0.985410351204684,0.943072908818417,0.264854431293667,0.0217355771698956
119.0625,0.999410180401366,0.985372399533468,0.942928071553771,0.263934339715541,0.0215190764199531
119.375,0.999408639248555,0.985334449323905,0.942783256533252,0.263017444491381,0.0213047321609268
119.6875,0.999407098098119,0.985296500575941,0.942638463753443,0.262103734517208,0.0210925229127383
120,0.999405556950061,0.985258553289518,0.942493693210929,0.261193198727617,0.0208824274092652
120.3125,0.999404015804378,0.985220607464582,0.942348944902295,0.260285826095642,0.0206744245962096
120.625,0.999402474661073,0.985182663101074,0.942204218824125,0.259381605632625,0.0204684936289882
120.9375,0.999400933520144,0.985144720198939,0.942059514973006,0.258480526388084,0.0202646138706441
121.25,0.999399392381591,0.985106778758121,0.941914833345523,0.257582577449575,0.0200627648897775
121.5625,0.999397851245415,0.985068838778563,0.941770173938265,0.256687747942567,0.0198629264584993
121.875,0.999396310111615,0.985030900260209,0.941625536747818,0.255796027030304,0.0196650785504035
122.1875,0.999394768980192,0.984992963203003,0.94148092177077,0.254907403913676,0.0194692013385603
122.5,0.999393227851146,0.984955027606889,0.941336329003709,0.254021867831091,0.0192752751935294
122.8125,0.999391686724476,0.98491709347181,0.941191758443226,0.253139408058341,0.0190832806813925
123.125,0.999390145600182,0.984879160797709,0.941047210085909,0.252260013908472,0.0188931985618062
123.4375,0.999388604478265,0.984841229584532,0.940902683928348,0.251383674731659,0.0187050097860736
123.75,0.999387063358725,0.984803299832221,0.940758179967133,0.250510379915071,0.0185186954952354
124.0625,0.999385522241561,0.98476537154072,0.940613698198857,0.249640118882747,0.0183342370181802
124.375,0.999383981126773,0.984727444709974,0.94046923862011,0.248772881095467,0.0181516158697729
124.6875,0.999382440014363,0.984689519339924,0.940324801227485,0.247908656050621,0.0179708137490031
125,0.999380898904328,0.984651595430517,0.940180386017574,0.247047433282089,0.01779181253715
125.3125,0.99937935779667,0.984613672981694,0.94003599298697,0.246189202360105,0.0176145942959678
125.625,0.999377816691389,0.9845757519934,0.939891622132268,0.245333952891139,0.0174391412658871
125.9375,0.999376275588484,0.984537832465579,0.93974727345006,0.244481674517766,0.0172654358642358
126.25,0.999374734487955,0.984499914398175,0.939602946936943,0.243632356918542,0.0170934606834769
126.5625,0.999373193389803,0.98446199779113,0.939458642589512,0.242785989807881,0.0169231984894639
126.875,0.999371652294028,0.98442408264439,0.939314360404361,0.241942562935926,0.0167546322197138
127.1875,0.999370111200629,0.984386168957897,0.939170100378088,0.24110206608843,0.0165877449816972
127.5,0.999368570109606,0.984348256731596,0.93902586250729,0.240264489086628,0.0164225200511457
127.8125,0.99936702902096,0.98431034596543,0.938881646788562,0.239429821787117,0.0162589408703755
128.125,0.99936548793469,0.984272436659342,0.938737453218505,0.23859805408173,0.0160969910466283
128.4375,0.999363946850797,0.984234528813278,0.938593281793715,0.237769175897417,0.0159366543504287
128.75,0.99936240576928,0.98419662242718,0.938449132510793,0.23694317719612,0.0157779147139574
129.0625,0.999360864690139,0.984158717500992,0.938305005366336,0.236120047974654,0.0156207562294414
129.375,0.999359323613376,0.984120814034659,0.938160900356946,0.235299778264583,0.0154651631475596
129.6875,0.999357782538988,0.984082912028123,0.938016817479223,0.234482358132102,0.0153111198758646
130,0.999356241466977,0.984045011481329,0.937872756729768,0.233667777677915,0.01515861097722
130.3125,0.999354700397342,0.98400711239422,0.937728718105181,0.232856027037116,0.0150076211682537
130.625,0.999353159330084,0.98396921476674,0.937584701602067,0.23204709637907,0.0148581353178259
130.9375,0.999351618265202,0.983931318598834,0.937440707217026,0.231240975907291,0.0147101384455132
131.25,0.999350077202697,0.983893423890444,0.937296734946663,0.230437655859328,0.0145636157201069
131.5625,0.999348536142568,0.983855530641515,0.93715278478758,0.229637126506643,0.0144185524581271
131.875,0.999346995084815,0.983817638851989,0.937008856736382,0.228839378154493,0.0142749341223512
132.1875,0.999345454029439,0.983779748521813,0.936864950789673,0.228044401141818,0.0141327463203567
132.5,0.999343912976439,0.983741859650928,0.936721066944059,0.227252185841116,0.0139919748030793
132.8125,0.999342371925816,0.983703972239278,0.936577205196146,0.226462722658333,0.013852605463385
133.125,0.999340830877569,0.983666086286809,0.936433365542539,0.225676002032744,0.0137146243346559
133.4375,0.999339289831698,0.983628201793462,0.936289547979846,0.224892014436835,0.013578017589391
133.75,0.999337748788204,0.983590318759183,0.936145752504674,0.224110750376194,0.0134427715378204
134.0625,0.999336207747086,0.983552437183914,0.936001979113629,0.22333220038939,0.0133088726265334
134.375,0.999334666708345,0.9835145570676,0.935858227803322,0.22255635504786,0.0131763074371201
134.6875,0.99933312567198,0.983476678410185,0.93571449857036,0.221783204955797,0.013045062684827
135,0.999331584637991,0.983438801211612,0.935570791411354,0.221012740750033,0.0129151252172256
135.3125,0.999330043606379,0.983400925471826,0.935427106322912,0.220244953099928,0.012786482012894
135.625,0.999328502577143,0.983363051190769,0.935283443301646,0.219479832707257,0.0126591201801127
135.9375,0.999326961550283,0.983325178368386,0.935139802344165,0.218717370306095,0.0125330269555719
136.25,0.9993254205258,0.983287307004621,0.934996183447083,0.217957556662707,0.0124081897030931
136.5625,0.999323879503693,0.983249437099417,0.93485258660701,0.217200382575437,0.0122845959123623
136.875,0.999322338483963,0.983211568652718,0.934709011820559,0.216445838874592,0.0121622331976767
137.1875,0.999320797466609,0.983173701664469,0.934565459084343,0.215693916422336,0.0120410892967031
137.5,0.999319256451631,0.983135836134612,0.934421928394976,0.214944606112579,0.0119211520692495
137.8125,0.99931771543903,0.983097972063092,0.934278419749071,0.214197898870861,0.0118024094960481
138.125,0.999316174428804,0.983060109449853,0.934134933143244,0.213453785654251,0.0116848496775509
138.4375,0.999314633420956,0.983022248294838,0.933991468574109,0.212712257451228,0.0115684608327376
138.75,0.999313092415483,0.982984388597992,0.933848026038282,0.211973305281581,0.0114532312979343
139.0625,0.999311551412387,0.982946530359258,0.933704605532378,0.211236920196293,0.0113391495256452
139.375,0.999310010411667,0.982908673578579,0.933561207053016,0.210503093277435,0.0112262040833952
139.6875,0.999308469413324,0.982870818255901,0.933417830596811,0.209771815638061,0.0111143836525842
140,0.999306928417357,0.982832964391166,0.933274476160382,0.209043078422096,0.0110036770273529
140.3125,0.999305387423766,0.982795111984318,0.933131143740346,0.208316872804232,0.0108940731134597
140.625,0.999303846432551,0.982757261035302,0.932987833333323,0.207593189989817,0.0107855609271692
140.9375,0.999302305443713,0.982719411544061,0.932844544935932,0.206872021214754,0.0106781295941509
141.25,0.999300764457251,0.982681563510539,0.932701278544792,0.206153357745391,0.0105717683483902
141.5625,0.999299223473165,0.98264371693468,0.932558034156523,0.205437190878416,0.0104664665311091
141.875,0.999297682491456,0.982605871816428,0.932414811767748,0.204723511940752,0.0103622135896978
142.1875,0.999296141512123,0.982568028155726,0.932271611375086,0.204012312289452,0.0102589990766578
142.5,0.999294600535166,0.982530185952519,0.932128432975159,0.203303583311595,0.0101568126485544
142.8125,0.999293059560585,0.982492345206751,0.931985276564591,0.20259731642418,0.0100556440649806
143.125,0.999291518588381,0.982454505918364,0.931842142140003,0.201893503074022,0.0099554831875304
143.4375,0.999289977618553,0.982416668087304,0.93169902969802,0.201192134737652,0.00985631997878313
143.75,0.999288436651102,0.982378831713513,0.931555939235265,0.200493202921207,0.00975814450129751
144.0625,0.999286895686026,0.982340996796937,0.931412870748362,0.199796699160336,0.00966094691661572
144.375,0.999285354723327,0.982303163337518,0.931269824233937,0.19910261502009,0.00956471748427751
144.6875,0.999283813763004,0.982265331335201,0.931126799688615,0.198410942094822,0.00946944656084408
145,0.999282272805058,0.982227500789929,0.930983797109022,0.197721672008088,0.00937512459893166
145.3125,0.999280731849487,0.982189671701647,0.930840816491785,0.197034796412543,0.00928174214625473
145.625,0.999279190896293,0.982151844070298,0.93069785783353,0.196350306989838,0.00918928984467883
145.9375,0.999277649945475,0.982114017895826,0.930554921130885,0.195668195450524,0.00909775842928271
146.25,0.999276108997034,0.982076193178176,0.930412006380477,0.194988453533948,0.00900713872742985
146.5625,0.999274568050968,0.982038369917289,0.930269113578937,0.194311073008154,0.00891742165784929
146.875,0.999273027107279,0.982000548113113,0.930126242722893,0.193636045669784,0.00882859822972556
147.1875,0.999271486165966,0.981962727765588,0.929983393808974,0.192963363343979,0.00874065954179763
147.5,0.999269945227029,0.981924908874661,0.92984056683381,0.192293017884276,0.00865359678146695
147.8125,0.999268404290469,0.981887091440273,0.929697761794033,0.191625001172516,0.0085674012239143
148.125,0.999266863356285,0.981849275462371,0.929554978686272,0.19095930511874,0.00848206423122541
148.4375,0.999265322424477,0.981811460940896,0.929412217507161,0.190295921661094,0.0083975772515254
148.75,0.999263781495045,0.981773647875794,0.929269478253331,0.189634842765728,0.0083139318181217
149.0625,0.999262240567989,0.981735836267008,0.929126760921414,0.188976060426706,0.0082311195486556
149.375,0.99926069964331,0.981698026114482,0.928984065508045,0.1883195666659,0.00814913214426227
149.6875,0.999259158721007,0.98166021741816,0.928841392009857,0.187665353532899,0.00806796138873906
150,0.99925761780108,0.981622410177986,0.928698740423484,0.187013413104912,0.00798759914772211
150.3125,0.999256076883529,0.981584604393904,0.92855611074556,0.186363737486672,0.00790803736787128
150.625,0.999254535968354,0.981546800065858,0.928413502972722,0.185716318810336,0.00782926807606296
150.9375,0.999252995055556,0.981508997193791,0.928270917101605,0.185071149235399,0.00775128337859118
151.25,0.999251454145133,0.981471195777648,0.928128353128845,0.184428220948589,0.0076740754603765
151.5625,0.999249913237087,0.981433395817372,0.92798581105108,0.183787526163779,0.00759763658418286
151.875,0.999248372331417,0.981395597312907,0.927843290864946,0.18314905712189,0.00752195908984216
152.1875,0.999246831428124,0.981357800264199,0.927700792567081,0.182512806090799,0.00744703539348671
152.5,0.999245290527206,0.981320004671189,0.927558316154124,0.181878765365242,0.00737285798678911
152.8125,0.999243749628665,0.981282210533823,0.927415861622714,0.181246927266724,0.00729941943620989
153.125,0.9992422087325,0.981244417852043,0.92727342896949,0.180617284143425,0.0072267123822526
153.4375,0.999240667838711,0.981206626625795,0.927131018191092,0.179989828370106,0.0071547295387262
153.75,0.999239126947298,0.981168836855022,0.926988629284161,0.179364552348017,0.00708346369201495
154.0625,0.999237586058261,0.981131048539668,0.926846262245337,0.178741448504809,0.00701290770035553
154.375,0.9992360451716,0.981093261679677,0.926703917071263,0.178120509294435,0.00694305449312128
154.6875,0.999234504287316,0.981055476274993,0.926561593758579,0.177501727197066,0.00687389707011368
155,0.999232963405407,0.98101769232556,0.926419292303929,0.176885094718994,0.00680542850086084
155.3125,0.999231422525875,0.980979909831321,0.926277012703956,0.176270604392545,0.00673764192392295
155.625,0.999229881648719,0.980942128792222,0.926134754955302,0.175658248775988,0.00667053054620467
155.9375,0.999228340773939,0.980904349208205,0.925992519054613,0.175048020453442,0.00660408764227443
156.25,0.999226799901535,0.980866571079215,0.925850304998533,0.17443991203479,0.00653830655369036
156.5625,0.999225259031507,0.980828794405195,0.925708112783707,0.173833916155588,0.00647318068833314
156.875,0.999223718163856,0.98079101918609,0.92556594240678,0.173230025476975,0.00640870351974528
157.1875,0.999222177298581,0.980753245421843,0.925423793864399,0.172628232685586,0.00634486858647717
157.5,0.999220636435681,0.980715473112399,0.92528166715321,0.172028530493461,0.00628166949143949
157.8125,0.999219095575158,0.980677702257702,0.925139562269861,0.171430911637958,0.00621909990126217
158.125,0.999217554717011,0.980639932857695,0.924997479210999,0.170835368881667,0.00615715354565973
158.4375,0.99921601386124,0.980602164912323,0.924855417973273,0.170241895012317,0.00609582421680284
158.75,0.999214473007845,0.980564398421528,0.92471337855333,0.169650482842696,0.00603510576869632
159.0625,0.999212932156826,0.980526633385257,0.924571360947821,0.169061125210558,0.00597499211656313
159.375,0.999211391308183,0.980488869803452,0.924429365153394,0.168473814978537,0.00591547723623465
159.6875,0.999209850461917,0.980451107676057,0.924287391166701,0.167888545034064,0.00585655516354699
160,0.999208309618026,0.980413347003016,0.924145438984392,0.167305308289279,0.00579821999374327
160.3125,0.999206768776511,0.980375587784274,0.924003508603119,0.166724097680942,0.0057404658808819
160.625,0.999205227937373,0.980337830019774,0.923861600019532,0.166144906170354,0.00568328703725074
160.9375,0.999203687100611,0.98030007370946,0.923719713230285,0.165567726743265,0.0056266777327871
161.25,0.999202146266224,0.980262318853278,0.92357784823203,0.164992552409795,0.00557063229450352
161.5625,0.999200605434214,0.980224565451169,0.923436005021421,0.164419376204343,0.00551514510591924
161.875,0.99919906460458,0.980186813503078,0.923294183595111,0.16384819118551,0.00546021060649738
162.1875,0.999197523777322,0.98014906300895,0.923152383949755,0.163278990436009,0.00540582329108769
162.5,0.99919598295244,0.980111313968728,0.923010606082008,0.162711767062584,0.00535197770937485
162.8125,0.999194442129934,0.980073566382356,0.922868849988524,0.162146514195923,0.00529866846533231
163.125,0.999192901309804,0.980035820249779,0.922727115665961,0.161583224990583,0.00524589021668152
163.4375,0.99919136049205,0.97999807557094,0.922585403110974,0.161021892624898,0.00519363767435654
163.75,0.999189819676672,0.979960332345784,0.92244371232022,0.1604625103009,0.00514190560197406
164.0625,0.99918827886367,0.979922590574254,0.922302043290358,0.159905071244239,0.00509068881530861
164.375,0.999186738053044,0.979884850256294,0.922160396018044,0.159349568704096,0.00503998218177302
164.6875,0.999185197244794,0.979847111391848,0.922018770499937,0.158795995953108,0.00498978061990411
165,0.99918365643892,0.979809373980862,0.921877166732696,0.158244346287278,0.00494007909885345
165.3125,0.999182115635422,0.979771638023277,0.921735584712981,0.157694613025902,0.00489087263788316
165.625,0.999180574834301,0.979733903519039,0.921594024437452,0.157146789511482,0.00484215630586683
165.9375,0.999179034035555,0.979696170468091,0.921452485902768,0.156600869109648,0.00479392522079534
166.25,0.999177493239185,0.979658438870379,0.921310969105593,0.15605684520908,0.00474617454928761
166.5625,0.999175952445192,0.979620708725844,0.921169474042586,0.155514711221423,0.00469889950610623
166.875,0.999174411653574,0.979582980034432,0.921028000710409,0.154974460581211,0.00465209535367794
167.1875,0.999172870864332,0.979545252796087,0.920886549105727,0.154436086745783,0.00460575740161885
167.5,0.999171330077467,0.979507527010752,0.9207451192252,0.153899583195212,0.00455988100626437
167.8125,0.999169789292977,0.979469802678372,0.920603711065495,0.153364943432217,0.00451446157020392
168.125,0.999168248510863,0.979432079798891,0.920462324623273,0.152832160982089,0.00446949454182018
