xi_t,P_gg_with_CD,P_eg_with_CD,P_ge_with_CD,P_photon_with_CD,concurrence_target,concurrence_without_CD,concurrence_with_CD,bell_fidelity_without_CD,bell_fidelity_with_CD,conditional_bell_fidelity_with_CD,u1,u2,Omega_pi_over_xi,Omega_CD_over_xi
16.12,1.10144093722701e-19,0.62121170701768,0.374684125407328,0.00410416757489549,0.970418072244652,0.0144304329401812,0.964900337105782,0.502582719351367,0.980398084765395,0.984438384864132,0.554274824851872,0.709069403186618,0,0.0507557445974882
16.13,1.10144093722701e-19,0.62072154773183,0.375172654644772,0.00410579762330142,0.97066240971958,0.0144449419328951,0.965148176929869,0.502582258189494,0.980521189653236,0.984563608577417,0.554634289686594,0.708788265072051,0,0.0506549258498007
16.14,1.10144093722701e-19,0.620232244552044,0.375660342515144,0.0041074129327151,0.970905265761123,0.0144594280778607,0.965394546136154,0.50258179274064,0.980643566601671,0.984688087185764,0.554992897105045,0.708507504662406,0,0.0505539632881012
16.15,1.10144093722701e-19,0.619743800069884,0.376147186360714,0.00410901356930541,0.97114664538394,0.0144738913385212,0.965639449610016,0.502581323029807,0.980765218020307,0.984811823164999,0.555350646849235,0.708227123911628,0,0.050452857643104
16.16,1.10144093722701e-19,0.619256216863787,0.376633183536474,0.00411059959964198,0.97138655360952,0.0144883316785322,0.965882892243489,0.502580849081939,0.980886146321875,0.984934818994603,0.555707538667393,0.707947124768671,0,0.0503516096472914
16.17,1.10144093722701e-19,0.61876949749905,0.377118331410171,0.00411217109068273,0.971624995466035,0.0145027490617652,0.966124878935123,0.502580370921928,0.981006353922172,0.985057077157627,0.556063572313963,0.707667509177462,0,0.0502502200349125
16.18,1.10144093722701e-19,0.618283644527815,0.377602627362328,0.00411372810976141,0.971861975988192,0.014517143452311,0.96636541458986,0.502579888574615,0.981125843240001,0.98517860014063,0.556418747549597,0.707388279076872,0,0.0501486895419835
16.19,1.10144093722701e-19,0.617798660489057,0.378086068786271,0.00411527072457491,0.972097500217087,0.0145315148144837,0.966604504118891,0.502579402064795,0.98124461669711,0.985299390433598,0.556773064141138,0.707109436400681,0,0.0500470189062875
16.2,1.10144093722701e-19,0.617314547908572,0.378568653088161,0.00411679900317068,0.972331573200058,0.0145458631128237,0.966842152439528,0.502578911417218,0.98136267671813,0.985419450529872,0.557126521861618,0.70683098307755,0,0.0499452088673756
16.21,1.10144093722701e-19,0.616831309298961,0.379050377687008,0.00411831301393405,0.972564199990541,0.014560188312102,0.967078364475068,0.502578416656594,0.981480025730518,0.985538782926075,0.557479120490244,0.70655292103099,0,0.0498432601665651
