map,x,y,final_Bell_fidelity,final_concurrence,final_atomic_population,max_norm_error
loading,-0.0666666666666667,0.0166666666666667,0.984999557247805,0.984989722897574,0.985009391598036,2.16638929018131e-11
loading,-0.0666666666666667,0.025,0.984999557247798,0.984989722897567,0.985009391598029,2.16638929018131e-11
loading,-0.0666666666666667,0.0333333333333333,0.984999557247794,0.984989722897563,0.985009391598025,2.16625606341836e-11
loading,-0.0666666666666667,0.0416666666666667,0.984999557247797,0.984989722897566,0.985009391598028,2.16624496118811e-11
loading,-0.0666666666666667,0.05,0.984999557247799,0.984989722897568,0.98500939159803,2.16624496118811e-11
loading,-0.0666666666666667,0.0583333333333333,0.984999557247801,0.98498972289757,0.985009391598032,2.16627826787885e-11
loading,-0.0666666666666667,0.0666666666666667,0.984999557247794,0.984989722897563,0.985009391598025,2.16617834780664e-11
loading,-0.0666666666666667,0.075,0.984999557247798,0.984989722897568,0.985009391598029,2.16625606341836e-11
loading,-0.0666666666666667,0.0833333333333333,0.984999557247796,0.984989722897565,0.985009391598027,2.16617834780664e-11
loading,-0.0666666666666667,0.0916666666666667,0.984999557247796,0.984989722897565,0.985009391598027,2.16626716564861e-11
loading,-0.0666666666666667,0.1,0.984999557247797,0.984989722897566,0.985009391598028,2.16625606341836e-11
loading,-0.0583333333333333,-0.1,0.987542690016791,0.987532830275645,0.987552549757937,2.31271668482691e-11
loading,-0.0583333333333333,-0.0916666666666667,0.987542690016796,0.98753283027565,0.987552549757942,2.3127388892874e-11
loading,-0.0583333333333333,-0.0833333333333333,0.987542690016795,0.987532830275648,0.98755254975794,2.31291652497134e-11
loading,-0.0583333333333333,-0.075,0.987542690016796,0.98753283027565,0.987552549757942,2.31261676475469e-11
loading,-0.0583333333333333,-0.0666666666666667,0.987542690016796,0.98753283027565,0.987552549757942,2.31284991158986e-11
loading,-0.0583333333333333,-0.0583333333333333,0.987542690016794,0.987532830275648,0.98755254975794,2.31286101382011e-11
loading,-0.0583333333333333,-0.05,0.987542690016789,0.987532830275643,0.987552549757935,2.31281660489913e-11
loading,-0.0583333333333333,-0.0416666666666667,0.987542690016788,0.987532830275642,0.987552549757934,2.3130275472738e-11
loading,-0.0583333333333333,-0.0333333333333333,0.987542690016792,0.987532830275646,0.987552549757938,2.31287211605036e-11
loading,-0.0583333333333333,-0.025,0.987542690016793,0.987532830275647,0.987552549757939,2.3125945602942e-11
loading,-0.0583333333333333,-0.0166666666666667,0.987542690016794,0.987532830275648,0.98755254975794,2.31263896921519e-11
loading,-0.0583333333333333,-0.00833333333333333,0.987542690016792,0.987532830275646,0.987552549757938,2.31296093389233e-11
loading,-0.0583333333333333,0,0.987542690016789,0.987532830275643,0.987552549757935,2.3127388892874e-11
loading,-0.0583333333333333,0.00833333333333333,0.987542690016796,0.98753283027565,0.987552549757942,2.31263896921519e-11
loading,-0.0583333333333333,0.0166666666666667,0.987542690016794,0.987532830275648,0.98755254975794,2.31261676475469e-11
loading,-0.0583333333333333,0.025,0.987542690016792,0.987532830275646,0.987552549757938,2.31269448036642e-11
loading,-0.0583333333333333,0.0333333333333333,0.987542690016795,0.987532830275649,0.987552549757941,2.31271668482691e-11
loading,-0.0583333333333333,0.0416666666666667,0.987542690016792,0.987532830275646,0.987552549757938,2.31269448036642e-11
loading,-0.0583333333333333,0.05,0.987542690016789,0.987532830275643,0.987552549757935,2.31278329820839e-11
loading,-0.0583333333333333,0.0583333333333333,0.987542690016793,0.987532830275647,0.987552549757939,2.31282770712937e-11
loading,-0.0583333333333333,0.0666666666666667,0.987542690016796,0.98753283027565,0.987552549757942,2.31286101382011e-11
loading,-0.0583333333333333,0.075,0.987542690016794,0.987532830275648,0.98755254975794,2.31272778705716e-11
loading,-0.0583333333333333,0.0833333333333333,0.987542690016794,0.987532830275648,0.98755254975794,2.3128832182806e-11
loading,-0.0583333333333333,0.0916666666666667,0.987542690016797,0.987532830275651,0.987552549757943,2.31266117367568e-11
loading,-0.0583333333333333,0.1,0.987542690016789,0.987532830275643,0.987552549757935,2.31287211605036e-11
loading,-0.05,-0.1,0.989750269388777,0.989740387607064,0.989760151170489,2.31672458994581e-11
loading,-0.05,-0.0916666666666667,0.989750269388784,0.989740387607072,0.989760151170497,2.31640262526867e-11
loading,-0.05,-0.0833333333333333,0.989750269388782,0.989740387607069,0.989760151170495,2.31625829627546e-11
loading,-0.05,-0.075,0.989750269388781,0.989740387607069,0.989760151170494,2.31635821634768e-11
loading,-0.05,-0.0666666666666667,0.98975026938878,0.989740387607068,0.989760151170493,2.31635821634768e-11
loading,-0.05,-0.0583333333333333,0.989750269388784,0.989740387607071,0.989760151170496,2.31622498958473e-11
loading,-0.05,-0.05,0.989750269388784,0.989740387607072,0.989760151170497,2.31636931857793e-11
loading,-0.05,-0.0416666666666667,0.989750269388785,0.989740387607072,0.989760151170497,2.3163138074267e-11
loading,-0.05,-0.0333333333333333,0.989750269388786,0.989740387607074,0.989760151170499,2.31616947843349e-11
loading,-0.05,-0.025,0.989750269388782,0.98974038760707,0.989760151170495,2.31622498958473e-11
loading,-0.05,-0.0166666666666667,0.989750269388783,0.989740387607071,0.989760151170496,2.31621388735448e-11
loading,-0.05,-0.00833333333333333,0.98975026938878,0.989740387607068,0.989760151170493,2.31635821634768e-11
