delta_k,selected_plus_root,other_plus_root,selected_minus_root,other_minus_root
0.000478630092322638,1.88930541418355e-12,8.24711599274351e-06,1.88930541418548e-12,8.24711599274773e-06
0.000524807460249772,2.73087676294724e-12,9.91521240849651e-06,2.73087676294979e-12,9.91521240850114e-06
0.000575439937337157,3.9473171491788e-12,1.19207045840902e-05,3.94731714918216e-12,1.19207045840953e-05
0.000630957344480193,5.70560792137646e-12,1.43318353174802e-05,5.70560792138089e-12,1.43318353174857e-05
0.000691830970918936,8.24711039223617e-12,1.72306503351537e-05,8.24711039224201e-12,1.72306503351598e-05
0.000758577575029184,1.19206975078608e-11,2.07157900613038e-05,1.19206975078685e-11,2.07157900613105e-05
0.000831763771102671,1.72306435879026e-11,2.4905846030415e-05,1.72306435879127e-11,2.49058460304223e-05
0.00091201083935591,2.49058459003635e-11,2.99433961361789e-05,2.49058459003769e-11,2.9943396136187e-05
0.001,3.59998800001532e-11,3.59998560002479e-05,3.59998800001708e-11,3.59998560002567e-05
0.00109647819614319,5.20356232110921e-11,4.32813115033348e-05,5.20356232111154e-11,4.32813115033445e-05
0.00120226443461741,7.52142983172656e-11,5.20355308889632e-05,7.52142983172963e-11,5.20355308889738e-05
0.00131825673855641,1.08717632167017e-10,6.2560394963235e-05,1.08717632167057e-10,6.25603949632466e-05
0.00144543977074593,1.57144605196594e-10,7.52140321302049e-05,1.57144605196647e-10,7.52140321302177e-05
0.00158489319246111,2.27142742147629e-10,9.04270029597032e-05,2.27142742147699e-10,9.04270029597171e-05
0.00173780082874938,3.28320597107573e-10,0.000108716948645736,3.28320597107666e-10,0.000108716948645751
0.00190546071796325,4.74566682348105e-10,0.000130706201439459,4.74566682348227e-10,0.000130706201439476
0.00208929613085404,6.85955877362227e-10,0.000157142955763793,6.85955877362388e-10,0.000157142955763811
0.00229086765276777,9.91504988051192e-10,0.000188926719636651,9.91504988051405e-10,0.000188926719636671
0.00251188643150958,1.43315567162049e-09,0.000227138911332317,1.43315567162077e-09,0.000227138911332339
0.00275422870333817,2.07153139306732e-09,0.00027307964078434,2.07153139306769e-09,0.000273079640784364
0.00301995172040202,2.99425854781659e-09,0.000328311924959114,2.99425854781708e-09,0.00032831192495914
0.00331131121482591,4.32799377623043e-09,0.000394714838332686,4.32799377623107e-09,0.000394714838332716
0.00363078054770101,6.25580808442831e-09,0.000474547402120169,6.25580808442915e-09,0.000474547402120201
0.00398107170553497,9.04231343537936e-09,0.000570525379115038,9.04231343538047e-09,0.000570525379115073
0.00436515832240166,1.30699797965983e-08,0.00068591357695364,1.30699797965997e-08,0.000685913576953678
0.00478630092322639,1.88916258977183e-08,0.000824636785722879,1.88916258977203e-08,0.000824636785722921
0.00524807460249773,2.73062856419031e-08,0.000991413103245652,2.73062856419056e-08,0.000991413103245698
0.00575439937337157,3.94688583255088e-08,0.0011919141535392,3.94688583255122e-08,0.00119191415353925
0.00630957344480193,5.70485838604417e-08,0.00143295760512097,5.7048583860446e-08,0.00143295760512103
0.00691830970918936,8.24580786387274e-08,0.00172273847478622,8.24580786387333e-08,0.00172273847478628
0.00758577575029184,1.1918434003834e-07,0.00207110699315637,1.19184340038348e-07,0.00207110699315644
0.00831763771102671,1.72267101331692e-07,0.00248990235061978,1.72267101331702e-07,0.00248990235061985
0.0091201083935591,2.48990104740491e-07,0.00299335348298918,2.48990104740504e-07,0.00299335348298926
0.01,3.59880016718684e-07,0.00359856024957496,3.59880016718701e-07,0.00359856024957505
0.0109647819614319,5.20149816298787e-07,0.00432607096505542,5.20149816298809e-07,0.00432607096505551
0.0120226443461741,7.51784285878137e-07,0.00520057534192737,7.51784285878169e-07,0.00520057534192748
0.0131825673855641,1.08655300285982e-06,0.0062517355627114,1.08655300285986e-06,0.00625173556271152
0.0144543977074593,1.57036290159809e-06,0.00751518251899202,1.57036290159814e-06,0.00751518251899215
0.0158489319246111,2.26954523380146e-06,0.00903370932257006,2.26954523380153e-06,0.00903370932257019
0.0173780082874938,3.27993533761606e-06,0.0108587001098318,3.27993533761615e-06,0.0108587001098319
0.0190546071796325,4.73998360246901e-06,0.0130518390169431,4.73998360246914e-06,0.0130518390169432
0.0208929613085404,6.84968348799705e-06,0.0156871520780381,6.8496834879972e-06,0.0156871520780383
